model,shots,eval_time,f1,accuracy,f1_5_level,accuracy_5_level,ratio_valid_categories,mean_num_tokens,max_num_tokens,eval_speed
llama3.1:8b,0,0.509,0.935212653923264,0.925589836660617,0.6721017721665318,0.6388384754990926,1.0,208.76043557168785,1179,410.1383802980115
llama3.1:8b,5,0.203,0.9350586479938092,0.9201451905626136,0.6318395596988978,0.5916515426497277,1.0,916.7604355716878,1887,4516.061258973831
llama3.1:8b,10,0.177,0.9328305483597172,0.9147005444646098,0.6836722622148642,0.6460980036297641,1.0,1530.7604355716878,2501,8648.364042777897
llama3.1:8b,20,0.211,0.9403448370325204,0.9274047186932848,0.7579088136535451,0.7313974591651543,0.998185117967332,2243.760435571688,3214,10633.935713609895
llama3.1:8b,30,0.2,0.9314555117755784,0.909255898366606,0.7479423704003791,0.7114337568058077,0.9963702359346642,2930.760435571688,3901,14653.80217785844
llama3.1:8b,40,0.212,0.9309224628382836,0.9074410163339384,0.7164386181869805,0.676950998185118,0.998185117967332,3511.760435571688,4482,16564.907714960795
llama3.1:8b,50,0.204,0.9347719840196356,0.9165154264972776,0.7475663265842042,0.7150635208711433,1.0,4271.760435571688,5242,20940.002135155333
deepseek-r1:8b,0,2.559,0.9223560468569544,0.909255898366606,0.5827120160065267,0.542649727767695,0.970961887477314,208.7568058076225,1179,81.57749347699199
deepseek-r1:8b,5,2.479,0.8929966927177945,0.8602540834845736,0.5598553546581841,0.5063520871143375,0.9909255898366606,916.7640653357532,1887,369.8120473318892
deepseek-r1:8b,10,2.641,0.8981921083015805,0.8638838475499092,0.6541983745103097,0.604355716878403,0.985480943738657,1530.7586206896551,2501,579.6132603898732
deepseek-r1:8b,20,2.636,0.8948003037937469,0.8747731397459165,0.6696804072663856,0.6297640653357531,0.9818511796733213,2243.7622504537203,3214,851.1996397775873
deepseek-r1:8b,30,2.828,0.8768330672901148,0.8511796733212341,0.6842065215088756,0.6442831215970962,0.9836660617059892,2930.75499092559,3901,1036.3348624206471
deepseek-r1:8b,40,2.968,0.908094368096434,0.8874773139745916,0.69609722242263,0.6660617059891107,0.9836660617059892,3511.7531760435572,4482,1183.2052479931124
deepseek-r1:8b,50,3.044,0.8613761694470639,0.8312159709618875,0.6587360867693496,0.617059891107078,0.9818511796733213,4271.7549909255895,5242,1403.336067978183
qwen2.5:14b,0,0.945,0.9276636338554248,0.9056261343012704,0.7471994918102807,0.7114337568058077,0.9909255898366606,189.67876588021775,1244,200.71827077271723
qwen2.5:14b,5,0.739,0.9495858726273904,0.94010889292196,0.7434822843162981,0.7168784029038112,1.0,920.6787658802178,1975,1245.8440674969115
qwen2.5:14b,10,0.67,0.9541793295788082,0.9528130671506352,0.7798500638337675,0.7622504537205081,1.0,1543.6787658802175,2598,2303.9981580301755
qwen2.5:14b,20,0.642,0.9534577944741286,0.9473684210526316,0.8355021548227775,0.8239564428312159,1.0,2262.6787658802177,3317,3524.421753707504
qwen2.5:14b,30,0.593,0.9573131314264058,0.9473684210526316,0.8645068701258035,0.8566243194192378,1.0,2955.6787658802177,4010,4984.281224081312
qwen2.5:14b,40,0.655,0.9473884454148158,0.9346642468239564,0.8358339357317969,0.822141560798548,1.0,3542.6787658802177,4597,5408.669871572852
qwen2.5:14b,50,0.632,0.947938708289224,0.94010889292196,0.851354449065146,0.8511796733212341,1.0,4313.678765880218,5368,6825.441085253509
deepseek-r1:14b,0,6.14,0.9240681637803636,0.9201451905626136,0.6189447482937059,0.5807622504537205,0.9963702359346642,189.67876588021775,1244,30.892307146615277
